"Subject"	"Date"	"Condition"	"Game"	"Request"	"Calls"	"callsyesno"	"intercepted"	"Location_filter"	"Season"	"Enjoy_Game"	"Finish"	"Game_Freq"	"Enjoy_Type"	"Interested"	"Distressed"	"Excited"	"Upset"	"Strong"	"Gulty"	"Scared"	"Hostile"	"Enthusiastic"	"Proud"	"Irritable"	"Alert"	"Ashamed"	"Inspired"	"Nervous"	"Determined"	"Attentive"	"Jittery"	"Active"	"Afraid"	"Gender"	"Purpose"	"Pos_Affect"	"Neg_Affect"	"Purpose_Qual"	"like"
33	2014-04-02 00:00:00	4	1	2	0	0	1	1	1	4	2	4	1	3	1	3	1	3	1	1	1	4	4	1	4	1	3	1	2	3	1	2	1	1	1	31	10	"It was to measure the level of enjoyment someone would experience playing a game."	5
34	2014-04-04 00:00:00	3	3	1	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	11	11	"i said no"	2
35	2014-04-04 00:00:00	4	1	2	0	0	1	1	1	3	2	2	3	4	3	3	2	2	1	2	1	3	2	1	4	2	1	3	1	4	4	4	1	2	1	28	20	"I did not know the purpose but I would guess about reaction time"	6
36	2014-04-04 00:00:00	6	3	2	0	0	1	1	1	4	2	6	3	3	3	3	1	3	1	1	1	2	3	1	4	1	3	1	3	4	3	4	1	1	2	32	14	"The purpose of the study was to see the body's reaction to violent or disturbing images shown in video games."	7
37	2014-04-04 00:00:00	2	2	1	0	0	1	1	1	4	1	1	2	5	4	4	1	2	4	1	2	1	1	1	5	1	1	1	3	5	1	5	1	2	1	32	17	"What video games are portraying"	6
38	2014-04-04 00:00:00	5	2	2	0	0	1	1	1	3	2	5	4	3	4	2	1	2	3	1	1	2	1	3	4	3	1	1	1	3	2	2	1	1	1	21	20	"I responded no."	7
39	2014-04-09 00:00:00	1	1	1	0	0	1	1	1	4	1	2	4	3	1	4	1	3	1	1	1	3	4	1	2	1	1	2	4	2	5	4	1	2	2	30	15	"To test emotions while being aroused playing a video game."	8
40	2014-04-09 00:00:00	6	3	2	5	1	1	1	1	2	1	1	1	3	3	2	1	3	1	1	1	1	1	1	5	3	1	1	4	4	3	4	2	2	1	28	17	"To see how violence and the state of anxiety correlate."	3
41	2014-04-09 00:00:00	3	3	1	0	0	1	1	1	4	2	1	5	4	1	4	1	3	1	1	1	3	3	1	3	1	2	1	3	3	4	4	1	1	1	32	13	"How video games effect a persons feelings."	9
42	2014-04-09 00:00:00	2	2	1	4	1	1	1	1	4	2	5	3	4	1	1	1	3	1	1	1	1	1	1	3	1	1	1	1	4	1	3	1	1	1	22	10	"N/A"	7
43	2014-04-11 00:00:00	5	2	2	0	0	1	1	1	3	1	2	2	3	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	3	1	1	1	2	2	17	10	"It was to see if playing a video game would affect our emotions in some way."	5
44	2014-04-11 00:00:00	1	1	1	0	0	1	1	1	5	2	1	3	3	2	4	3	4	1	1	1	4	3	2	4	1	1	3	4	5	3	4	2	2	1	36	19	"I responded No."	8
45	2014-04-11 00:00:00	3	3	1	5	1	1	1	1	4	2	5	3	2	1	2	1	3	1	1	2	3	4	1	5	1	1	1	3	4	3	4	1	1	2	31	13	"Im pretty sure the study was designed to see whether or not playing violent video games could provoke certain responses such as excitement or hostility and the intent was to see if there was a correlation between video games and aroused emotional states."	7
46	2014-04-11 00:00:00	2	2	1	0	0	1	1	1	1	1	2	1	2	1	2	2	2	1	1	2	2	1	2	1	1	1	1	1	2	1	2	1	2	2	16	13	"To   test  how   people  feel while playing  games"	2
47	2014-04-16 00:00:00	5	2	2	0	0	1	1	1	3	2	3	3	3	2	4	3	3	2	3	2	4	2	1	5	2	1	1	3	5	4	5	1	1	2	35	21	"hhy8hh*uuu*uuhu+*u++hhhhhhhhhhhhhhh*uuu*uuhu+*u++hhhhhhhhh"	6
48	2014-04-16 00:00:00	6	3	2	2	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	10	14	"TO ASSESS HOW ENGAGING IN VIDEO GAMES WOULD ELICIT EMOTIONS."	2
49	2014-04-16 00:00:00	3	3	1	NA	NA	0	1	1	4	1	2	3	3	1	4	1	1	1	1	1	3	1	1	2	1	1	1	2	3	2	3	1	2	1	23	11	"The response to stress on video games/ priming one with the 'violent video game' then taking  the survey to gauge violent tendencies or emotional levels of stress"	7
50	2014-04-21 00:00:00	4	1	2	0	0	1	1	1	4	2	4	3	3	1	5	1	4	2	1	2	4	4	2	5	1	4	1	4	4	2	5	1	1	1	42	14	"To see how playing video games makes people feel"	7
51	2014-04-22 00:00:00	1	1	1	NA	NA	0	1	1	4	2	2	3	4	2	4	1	3	1	1	2	4	3	3	3	1	2	2	4	4	4	5	1	1	1	36	18	"N/A"	7
52	2014-04-22 00:00:00	2	2	1	0	0	1	1	1	2	2	2	2	1	2	2	1	1	4	3	1	1	1	1	1	3	1	2	1	3	2	2	2	2	1	14	21	"to see how you feel after playing a certain type of game"	4
53	2014-04-22 00:00:00	4	1	2	5	1	1	1	1	4	2	5	4	4	1	4	1	4	1	1	1	5	4	1	4	1	5	1	4	4	1	4	1	1	1	42	10	"na"	8
54	2014-04-22 00:00:00	5	2	2	5	1	1	1	1	3	2	4	4	4	2	3	1	1	1	1	1	3	1	1	4	1	1	1	2	3	2	3	1	1	1	25	12	"To determine whether or not video games elicit a negative, hostile, bellicose response from specific demographics, whether thats correlated with gender, class, etc."	7
55	2014-04-23 00:00:00	6	3	2	0	0	1	1	1	3	1	1	1	2	3	3	1	3	1	1	3	2	1	3	5	1	1	1	5	5	5	5	1	2	1	32	20	"to see if playing a video game makes you more attentive or alert or to see what emotions if produces"	4
56	2014-04-25 00:00:00	1	1	1	4	1	1	1	1	3	1	1	2	3	2	4	2	4	1	2	3	4	4	2	5	3	4	2	5	5	3	5	2	2	1	43	22	"Hand eye coordination....lol"	5
57	2014-04-25 00:00:00	3	3	1	0	0	1	1	1	3	1	5	3	3	2	3	2	3	1	1	1	3	2	2	4	3	1	1	4	5	1	3	1	1	1	31	15	"no"	6
58	2014-04-25 00:00:00	5	2	2	0	0	1	1	1	4	1	2	2	3	3	3	1	1	2	2	2	3	2	2	4	1	2	1	2	3	3	3	1	2	2	26	18	"The purpose of this study was to relate our emotions to video games to see if we found enjoyment from the video game"	6
59	2014-04-25 00:00:00	5	2	2	0	0	1	1	1	3	1	2	2	2	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	2	2	15	11	"To see the emotions that happen when a person plays a video game."	5
60	2014-04-25 00:00:00	3	3	1	0	0	1	1	1	3	1	3	1	4	2	3	1	3	1	1	2	3	3	2	4	1	2	1	3	3	3	3	1	1	2	31	15	"To determine the enjoyability of video games."	4
61	2014-04-29 00:00:00	1	1	1	5	1	1	1	1	4	1	5	1	4	1	3	1	3	1	1	1	3	3	1	4	1	2	1	4	3	1	2	1	1	2	31	10	"To determine if one has excitement while they play a video game."	5
62	2014-04-29 00:00:00	6	3	2	10	1	1	1	1	1	1	2	1	2	4	3	4	1	1	1	1	3	1	3	3	3	1	4	1	3	4	1	1	2	1	19	26	"responded no."	2
63	2014-04-25 00:00:00	2	2	1	0	0	1	1	1	3	1	2	3	3	2	4	3	3	2	2	1	3	3	2	4	2	3	2	4	4	4	4	2	2	1	35	22	"to see how video games effect my mood"	6
64	2014-04-29 00:00:00	6	3	2	NA	NA	0	1	1	3	2	5	5	4	1	4	1	3	1	1	1	4	3	1	5	1	3	1	5	5	1	4	1	1	1	40	10	"To better understand subjects feelings after playing an uncomfortable or emotionally challenging gameplay sequence"	8
65	2014-04-29 00:00:00	1	1	1	10	1	1	1	1	4	2	2	3	2	1	3	1	3	1	1	1	3	4	1	4	1	2	1	4	4	1	1	1	2	1	30	10	"I have no idea what the study entailed. So I have nothing to say."	7
66	2014-04-30 00:00:00	6	3	2	0	0	1	1	1	3	1	2	2	2	1	2	1	1	1	1	1	2	2	2	4	1	2	1	1	3	3	3	1	1	2	22	13	"Possibly to see whether or not playing hostile video games promoted similar feelings."	5
67	2014-04-30 00:00:00	5	2	2	0	0	1	1	1	4	2	3	3	3	2	4	1	3	2	1	1	3	1	1	4	1	2	1	3	5	2	3	1	1	1	31	13	"To see how people react to different situations even in video games"	7
70	2014-03-18 15:57:09	6	3	2	0	0	1	2	1	3	2	2	3	3	1	1	1	1	1	1	1	2	1	1	4	1	1	1	2	4	1	1	1	2	2	20	10	""	6
71	2014-03-20 15:48:59	5	2	2	5	1	1	2	1	1	1	5	4	2	1	3	NA	1	1	1	1	1	1	3	NA	1	1	1	1	1	3	1	1	2	2	12	13	""	5
72	2014-04-01 16:41:06	4	1	2	10	1	1	2	1	4	1	4	4	4	3	4	1	3	3	1	1	3	4	1	5	2	3	1	5	5	2	4	1	2	1	40	16	"To test how video games effect our emotions."	8
73	2014-04-03 15:52:46	3	3	1	0	0	1	2	1	1	2	1	1	1	5	1	4	1	1	1	5	1	1	3	NA	4	1	1	1	3	1	1	1	1	2	11	26	""	2
74	2014-04-03 17:03:52	2	2	1	0	0	1	2	1	3	1	4	5	4	3	2	3	1	3	3	1	1	1	3	4	3	1	3	2	4	1	1	1	2	1	21	24	"I have played the game before and as soon as that level was selected I knew it would have something to do with my reaction to the hundreds of innocent people killed.  I know there is controversy with that level. So much so that they give the option to not  even play it."	8
75	2014-04-03 17:30:58	1	1	1	0	0	1	2	1	2	2	3	1	3	2	2	3	2	1	1	4	3	1	3	3	4	2	1	5	4	3	5	1	2	2	30	23	""	3
76	2014-04-08 15:04:21	6	3	2	20	1	1	2	1	2	2	2	1	2	1	3	1	3	1	1	1	2	1	1	4	1	1	1	3	5	1	4	1	1	2	28	10	""	3
77	2014-04-08 17:04:05	5	2	2	6	1	1	2	1	1	2	2	1	1	2	1	2	1	1	1	1	1	1	3	2	1	1	1	1	2	1	1	1	1	1	12	14	"I thought the purpose of the experiment is to see the effect violent video games has on an individual's emotions."	2
78	2014-04-10 15:53:06	4	1	2	7	1	1	2	1	4	2	1	4	4	1	4	3	4	1	1	5	4	3	3	4	1	5	4	5	4	4	4	1	1	1	41	24	"To identify the range of emotions we felt when playing games."	8
79	2014-04-10 16:33:42	3	3	1	0	0	1	2	1	4	1	6	3	3	2	2	1	2	1	1	1	3	3	3	4	2	2	1	3	4	1	1	1	2	2	27	14	""	7
80	2014-04-10 17:20:41	2	2	1	0	0	1	2	1	3	1	3	3	2	3	2	1	3	1	1	1	2	2	1	4	1	1	1	3	4	1	2	1	2	1	25	12	"To test what my emotional response was to violent videogames."	6
81	2014-04-10 17:37:58	1	1	1	0	0	0	2	1	3	1	4	1	1	1	3	1	3	1	1	1	3	4	1	5	1	1	1	2	4	1	5	1	2	1	31	10	"I thought the purpose of the experiment was to see a certain emotional response that was being looked for after playing the video game. I didn't know the purpose was to see my emotional states overall."	4
82	2014-04-15 15:51:13	6	3	2	NA	NA	0	2	1	4	2	5	3	3	3	3	2	2	2	1	3	4	2	2	4	2	1	2	4	4	2	3	1	2	2	30	20	""	7
83	2014-04-15 16:30:28	5	2	2	0	0	1	2	1	2	1	6	3	3	2	1	2	1	2	1	1	1	1	1	2	2	1	1	1	3	1	4	1	2	2	18	14	""	5
84	2014-04-15 16:59:18	4	1	2	0	0	1	2	1	2	2	6	2	2	3	2	3	2	1	1	1	1	1	2	2	2	1	2	3	2	3	2	2	2	2	18	20	""	4
85	2014-04-15 17:29:39	3	3	1	10	1	1	2	1	3	2	5	4	3	1	2	1	3	1	1	1	3	3	1	4	1	3	1	4	4	3	1	1	2	2	30	12	""	7
86	2014-04-17 15:42:46	2	2	1	0	0	1	2	1	3	1	3	3	3	1	3	1	1	1	1	1	3	1	1	4	1	1	1	4	NA	3	3	1	2	2	23	12	""	6
87	2014-04-22 15:52:05	1	1	1	1	1	1	2	1	2	2	4	2	3	2	1	1	1	1	1	2	2	1	3	1	2	1	1	3	1	1	1	1	2	2	15	15	""	4
88	2014-04-22 16:23:26	6	3	2	0	0	1	2	1	2	2	2	2	2	2	1	2	1	2	3	1	1	1	1	3	1	1	2	3	2	3	2	3	1	2	17	20	""	4
89	2014-04-22 16:53:24	5	2	2	0	0	1	2	1	2	2	1	1	3	2	2	1	1	1	2	2	2	1	3	4	1	1	2	2	3	4	1	1	1	2	20	19	""	3
90	2014-04-22 17:23:28	4	1	2	0	0	1	2	1	3	2	3	1	3	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	2	15	12	""	4
91	2014-04-24 15:54:25	3	3	1	0	0	1	2	1	3	1	4	3	3	1	3	1	2	1	1	1	3	3	1	4	1	2	1	1	1	1	2	1	2	1	24	10	"I thought the purpose of the study was to play a violent video game and then answer questions to see if there is a connection between violent video games and emotions."	6
92	2014-04-24 16:27:01	2	2	1	0	0	1	2	1	1	2	4	1	1	1	1	1	1	4	1	1	5	1	1	1	1	1	1	3	3	3	1	1	1	1	18	15	"to see the successful of game will cause good effect to emotion."	2
93	2014-04-24 17:27:30	1	1	1	0	0	1	2	1	2	1	6	1	2	1	1	1	2	1	1	1	2	2	1	3	1	1	1	3	3	2	3	1	2	1	22	11	"The purpose was to see how people feel when playing video games. I think it also depends a lot on how much you play video games anyways and the type of game."	3
94	2014-04-29 15:45:22	6	3	2	5	1	1	2	1	3	2	1	3	4	1	4	1	1	1	1	2	3	1	2	3	1	1	1	2	3	1	2	1	1	1	24	12	""	6
95	2014-04-29 16:59:20	5	2	2	0	0	1	2	1	3	2	2	2	4	4	4	2	2	1	2	3	3	2	2	4	1	2	3	3	4	2	3	2	1	2	31	22	""	5
96	2014-04-29 17:26:46	4	1	2	5	1	1	2	1	2	2	2	2	3	2	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	2	1	1	1	2	14	14	""	4
97	2014-05-01 15:49:46	3	3	1	0	0	1	2	1	3	2	4	4	3	2	3	2	3	1	1	1	2	3	1	3	2	1	1	4	3	1	4	1	2	1	29	13	"To see how playing \"violent\" video games effect an individual's emotions."	7
98	2014-05-01 16:24:57	2	2	1	0	0	1	2	1	3	1	3	4	3	4	2	5	1	5	3	4	2	1	2	3	4	1	4	1	3	3	3	4	2	2	20	38	""	7
99	2014-05-01 16:52:56	1	1	1	0	0	1	2	1	1	1	4	1	2	3	2	3	3	1	1	2	1	1	4	3	1	1	2	3	2	2	3	1	2	2	21	20	""	2
100	2014-05-06 15:15:13	6	3	2	0	0	1	2	1	4	2	2	3	5	4	5	2	2	1	1	1	2	1	3	5	1	1	1	3	1	1	5	1	2	1	30	16	"To see what are emotions are going to be like after we play a violent video game. Specifically if we felt more enraged after playing the video game."	7
101	2014-05-06 17:24:14	5	2	2	0	0	1	2	1	2	2	4	2	3	1	3	1	3	1	1	1	2	1	2	2	1	1	1	2	2	1	2	1	2	1	21	11	"to test whether killing all of those innocent people would ilicit an emointion.  Trying it a second time was a test to see if you would kill all those people again, maybe even kill the guy for killing those people and you."	4
102	2014-05-08 15:47:56	4	1	2	1	1	1	2	1	2	1	6	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	4	1	1	1	2	2	16	10	""	3
103	2014-05-08 16:30:45	3	3	1	0	0	1	2	1	4	2	4	4	4	1	4	1	4	1	1	1	4	4	1	1	1	3	1	4	4	1	4	1	2	2	36	10	""	8
104	2014-05-08 17:25:54	2	2	1	0	0	1	2	1	3	1	5	3	3	2	3	2	2	5	1	1	2	1	2	4	5	2	2	1	4	3	2	1	2	2	24	24	""	6
105	2014-06-19 15:09:12	1	1	1	0	0	1	2	2	2	2	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	11	11	"the people's emotions and changes when they playing the video games"	5
106	2014-06-24 14:50:51	6	3	2	3	1	1	2	2	3	2	4	3	2	2	3	4	3	1	1	2	3	3	4	4	2	1	1	3	3	3	3	1	2	1	28	21	"to know the level of happiness after playing games"	6
107	2014-06-24 15:30:32	5	2	2	5	1	1	2	2	2	2	1	1	1	1	1	1	2	3	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	13	12	"to see what emotions are triggered while playing violent video games or to see if they have a huge impact on you after you play them"	3
108	2014-06-26 14:45:07	4	1	2	3	1	1	2	2	3	2	4	1	4	3	3	1	3	1	1	1	2	1	2	1	1	2	3	3	3	2	2	1	2	2	24	16	""	4
109	2014-06-26 15:30:04	3	3	1	0	0	1	2	2	4	1	5	4	4	1	3	1	1	1	1	1	2	4	1	2	1	1	1	1	4	1	1	1	2	2	23	10	""	8
110	2014-07-01 14:43:12	2	2	1	0	0	1	2	2	3	2	1	1	2	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	14	11	"Playing a video game and how it makes you feel afterwards."	4
111	2014-07-01 15:57:11	1	1	1	0	0	1	2	2	3	1	4	2	2	3	3	2	1	1	1	1	2	1	1	3	1	2	1	4	3	4	4	1	2	2	25	16	""	5
112	2014-07-03 14:47:10	6	3	2	5	1	1	2	2	2	2	3	2	4	4	4	2	2	2	2	2	3	1	3	4	3	1	2	4	NA	3	2	2	1	2	25	25	""	4
113	2014-07-03 15:25:33	5	2	2	10	1	1	2	2	3	1	5	4	3	1	1	1	2	2	1	1	1	1	1	3	1	1	2	1	3	3	2	1	2	2	18	14	""	7
114	2014-07-10 14:52:11	4	1	2	0	0	1	2	2	3	1	4	2	3	1	2	1	2	1	1	1	1	2	1	4	1	1	2	3	4	2	1	1	2	2	23	12	""	5
115	2014-07-10 15:22:20	3	3	1	0	0	1	2	2	3	2	5	4	3	3	2	3	2	1	1	2	3	3	3	3	1	2	2	3	3	3	3	2	2	2	27	21	""	7
116	2014-07-22 15:34:48	2	2	1	0	0	1	2	2	2	2	2	2	3	4	2	3	2	4	3	2	2	1	2	4	3	2	3	2	4	4	3	2	1	1	25	30	"Your attitude and feelings after playing a violent videogame"	4
117	2014-07-24 15:00:23	1	1	1	0	0	1	2	2	4	2	1	3	4	2	3	1	2	1	1	1	1	1	1	3	1	2	1	3	4	2	3	1	2	2	26	12	""	7
118	2014-07-24 15:28:59	6	3	2	0	0	1	2	2	3	2	2	1	2	3	2	3	2	3	1	1	2	1	1	1	2	1	1	3	3	3	3	1	1	2	20	19	""	4
119	2014-09-29 14:14:26	5	2	2	10	1	1	2	3	3	2	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	2	2	1	1	1	1	1	2	13	15	""	4
120	2014-09-29 15:21:26	4	1	2	20	1	1	2	3	3	2	2	2	3	1	3	1	1	1	1	1	2	1	1	2	1	1	1	1	3	1	2	1	1	2	19	10	""	5
121	2014-09-29 15:25:42	3	3	1	0	0	1	2	3	4	2	6	4	5	3	5	1	4	1	1	1	2	2	1	4	1	2	1	5	4	2	2	1	2	2	35	13	""	8
122	2014-09-29 15:58:25	2	2	1	5	1	1	2	3	3	1	4	2	2	2	1	1	2	2	2	2	2	1	2	2	2	2	2	3	3	3	3	1	2	2	21	19	""	5
123	2014-09-29 16:29:57	1	1	1	0	0	1	2	3	3	1	4	3	4	1	4	1	1	1	1	1	2	2	1	5	1	2	2	3	4	4	3	1	2	2	30	14	""	6
124	2014-09-30 17:23:21	6	3	2	10	1	1	2	3	4	2	3	4	4	2	3	1	2	1	1	2	2	1	3	4	1	1	2	4	4	2	3	1	2	1	28	16	"/  / I thought the study was about how we felt emotionally after playing a violent game. Whether we felt violent from laying the game or if it didn't bother us at all."	8
125	2014-10-01 15:30:20	5	2	2	NA	NA	0	2	3	2	2	1	1	1	1	1	1	1	1	1	NA	1	1	1	4	1	1	1	1	4	1	4	1	1	2	19	9	""	3
126	2014-10-02 17:11:33	4	1	2	0	0	1	2	3	2	1	1	2	3	1	3	3	3	3	1	1	2	2	2	3	3	2	4	4	3	2	1	1	1	2	26	21	""	4
127	2014-10-03 13:50:22	3	3	1	10	1	1	2	3	2	2	1	1	2	3	1	3	1	1	1	2	1	1	3	4	NA	2	3	3	4	4	3	1	1	1	22	21	"I think the purpose of this study was to be able to associate emotions with different video games. I think this was also used to determine how different genders react in different situations with their different emotions."	3
128	2014-10-03 13:56:00	2	2	1	0	0	1	2	3	4	2	2	3	4	4	3	1	4	1	1	3	4	4	3	1	1	2	1	1	1	1	3	1	2	1	27	17	"to see how people behive while playing games"	7
129	2014-10-06 14:48:46	1	1	1	0	0	1	2	3	4	1	2	3	4	2	4	1	1	1	1	1	1	1	1	3	1	1	1	1	3	2	1	1	1	1	20	12	"emotional response to video games"	7
